Assay Name	Source Name	COSMIC_ID	cell_line_name
5500994158987071513202_C01	J132_EPC01P4_KYSE-270_Esophagus_907319	907319	KYSE-270
5500994158987071513202_C02	J132_EPC02P4_KYSE-410_Esophagus_753574	753574	KYSE-410
5500994158987071513202_C03	J132_EPC03P4_KARPAS-231_Blood_1327774	1327774	KARPAS-231
5500994158987071513202_C04	J132_EPC04P4_KP-3_Pancreas_1298219	1298219	KP-3
5500994158987071513202_C05	J132_EPC05P4_LC-2-ad_Lung_907786	907786	LC-2-ad
5500994158987071513202_C06	J132_EPC06P4_L-363_Blood_924239	924239	L-363
5500994158987071513202_C07	J132_EPC07P4_LN-229_Brain_1240169	1240169	LN-229
5500994158987071513202_C08	J132_EPC08P4_FADU_Head & Neck_906863	906863	FADU
5500994158987071513202_C09	J132_EPC09P4_G-401_Kidney_907299	907299	G-401
5500994158987071513202_C10	J132_EPC10P4_GI-1_CNS_906871	906871	GI-1
5500994158987071513202_C11	J132_EPC11P4_MFH-ino_Misc_925343	925343	MFH-ino
5500994158987071513202_C12	J132_EPC12P4_MEG-01_Blood_908126	908126	MEG-01
5500994158987071513202_D01	J132_EPD01P4_KYSE-510_Esophagus_907321	907321	KYSE-510
5500994158987071513202_D02	J132_EPD02P4_KU812_Blood_907311	907311	KU812
5500994158987071513202_D03	J132_EPD03P4_K052_Blood_907284	907284	K052
5500994158987071513202_D04	J132_EPD04P4_KCL-22_Blood_1330931	1330931	KCL-22
5500994158987071513202_D05	J132_EPD05P4_LAN-6_PNS_949170	949170	LAN-6
5500994158987071513202_D06	J132_EPD06P4_LXF-289_Lung_753592	753592	LXF-289
5500994158987071513202_D07	J132_EPD07P4_LN-18_Brain_1240168	1240168	LN-18
5500994158987071513202_D08	J132_EPD08P4_FU97_Stomach_1290806	1290806	FU97
5500994158987071513202_D09	J132_EPD09P4_GCT_Miscellaneous_906999	906999	GCT
5500994158987071513202_D10	J132_EPD10P4_GI-ME-N_PNS_906872	906872	GI-ME-N
5500994158987071513202_D11	J132_EPD11P4_MFE-280_Uterus_908129	908129	MFE-280
5500994158987071513202_D12	J132_EPD12P4_MEC-2_Blood_1330944	1330944	MEC-2
5500994158987071513202_E02	J132_EPE02P4_KS-1_CNS_907313	907313	KS-1
5500994158987071513202_E03	J132_EPE03P4_KMRC-1_Kidney_1298168	1298168	KMRC-1
5500994158987071513202_E04	J132_EPE04P4_KOSC-2_Head & Neck_753570	753570	KOSC-2
5500994158987071513202_E05	J132_EPE05P4_LU-135_Lung_713899	713899	LU-135
5500994158987071513202_E06	J132_EPE06P4_LS-513_Intestine_907795	907795	LS-513
5500994158987071513202_E07	J132_EPE07P4_LNZTA3WT4_Brain_1240170	1240170	LNZTA3WT4
5500994158987071513202_E09	J132_EPE09P4_G-361_Skin_906865	906865	G-361
5500994158987071513202_E10	J132_EPE10P4_GR-ST_Blood_906877	906877	GR-ST
5500994158987071513202_E11	J132_EPE11P4_MOLT-16_Blood_908147	908147	MOLT-16
5500994158987071513202_E12	J132_EPE12P4_Mewo_Skin_908128	908128	Mewo
5500994158987071513202_F01	J132_EPF01P4_KYSE-70_Esophagus_753576	753576	KYSE-70
5500994158987071513202_F02	J132_EPF02P4_KOPN-8_Blood_1330933	1330933	KOPN-8
5500994158987071513202_F03	J132_EPF03P4_KMRC-20_Kidney_1298169	1298169	KMRC-20
5500994158987071513202_F04	J132_EPF04P4_LB2241-RCC_Kidney_753578	753578	LB2241-RCC
5500994158987071513202_F05	J132_EPF05P4_LU-65_Lung:NSCLC_724863	724863	LU-65
5500994158987071513202_F06	J132_EPF06P4_LS-180_Intestine_998189	998189	LS-180
5500994158987071513202_F07	J132_EPF07P4_LAMA-84_Blood_907783	907783	LAMA-84
5500994158987071513202_F08	J132_EPF08P4_FU-OV-1_Ovary_1240129	1240129	FU-OV-1
5500994158987071513202_F09	J132_EPF09P4_G-MEL_Skin_1240130	1240130	G-MEL
5500994158987071513202_F10	J132_EPF10P4_G-292-Clone-A141B1_Bone_1290807	1290807	G-292-Clone-A141B1
5500994158987071513202_F11	J132_EPF11P4_MOLT-13_Blood_908146	908146	MOLT-13
5500994158987071513202_F12	J132_EPF12P4_ME-180_Cervix_687514	687514	ME-180
5500994158987071513202_G01	J132_EPG01P4_KYSE-140_Esophagus_753573	753573	KYSE-140
5500994158987071513202_G02	J132_EPG02P4_KALS-1_CNS_907271	907271	KALS-1
5500994158987071513202_G03	J132_EPG03P4_KNS-81-FD_CNS_924188	924188	KNS-81-FD
5500994158987071513202_G04	J132_EPG04P4_LB647-SCLC_Lung_753582	753582	LB647-SCLC
5500994158987071513202_G05	J132_EPG05P4_LU-139_Lung_713878	713878	LU-139
5500994158987071513202_G06	J132_EPG06P4_LS-123_Intestine_907792	907792	LS-123
5500994158987071513202_G08	J132_EPG08P4_GCIY_Stomach_906869	906869	GCIY
5500994158987071513202_G09	J132_EPG09P4_GOTO_Kidney_906875	906875	GOTO
5500994158987071513202_G10	J132_EPG10P4_G-402_Kidney_907298	907298	G-402
